Rank,Local Path,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
1,/2017/01/17/open-letter-milo-yiannopoulos/,y,,,,,y
2,/2017/02/07/violence-self-defense/,y,,,,,y
3,/2017/04/27/demonstrators-gather-sproul-plaza-civic-center-park-ann-coulter-protest/,y,y,,y,,
4,/2017/03/23/renowned-uc-berkeley-philosophy-professor-emeritus-accused-sex-assault/,y,,,,y,
5,/2017/09/14/full-speaker-list-released-free-speech-week-uc-berkeley/,y,,y,,,
6,/2017/09/13/uc-berkeley-faculty-members-call-boycott-classes-free-speech-week/,y,,y,,,
7,/2017/09/10/petition-to-remove-ucpd-officer-receives-over-5000-signatures/,y,,,,,
8,/2017/07/06/uc-berkeley-releases-2017-18-admissions-data/,y,,,,,
9,/2017/07/04/best-places-see-fourth-july-fireworks-bay-area/,y,,,,,
10,/2017/09/21/uc-berkeley-students-harassed-after-milo-yiannopoulos-publicly-identifies-them/,y,,y,,,
11,/2017/10/12/berkeley-college-republicans-president-allegedly-impeached-by-secretary-amid-power-struggle/,y,y,,,,
12,/2017/10/04/uc-berkeley-research-fellow-michael-cohen-rising-star-in-computer-science-dies-at-25/,y,,,,,
13,/2017/01/07/suspect-large-berkeleys-first-homicide-year/,y,,,,,
14,/2017/09/06/ucla-beats-uc-berkeley-as-no-1-public-university-in-us-ranking-reports/,y,,,,,
15,/2017/02/07/check-privilege-speaking-protests/,y,,,,,y
16,/2017/02/02/ucpd-arrests-1-suspect-connection-protests/,y,,,y,,
17,/2017/10/25/anti-semitic-caricature-alan-dershowitz-generates-no-criticism-uc-berkeley-hard-left/,y,,,,,y
18,/2017/05/01/breaking-the-siege/,y,,,,,y
19,/2017/09/01/uc-berkeley-looks-back-on-dark-history-abuse-of-yahi-man-106-years-later/,y,,,,,
20,/2017/11/14/stuff-ive-shoved-holes-ranked/,y,,,,,y
21,/2017/02/01/milo-yiannopoulos-event-canceled-violent-protests-erupt-uc-berkeley/,y,y,,y,,
22,/2017/08/13/man-attended-charlottesville-protests-no-longer-works-top-dog/,y,,,y,,
23,/2017/11/08/protesters-gather-at-conference-organized-by-campus-professor-judith-butler-in-brazil/,y,,,,,
24,/2017/02/28/its-rampant-documents-reveal-113-uc-employees-violated-sex-misconduct-policy-in-past-3-years/,y,,,,y,
25,/2017/04/17/leaked-finsta-leads-changes-membership-uc-berkeleys-chi-omega-chapter/,y,,,,,
26,/2017/08/15/campus-breaks-world-record-for-largest-human-letter/,y,,,,,
27,/2017/10/27/uc-berkeley-announces-new-meme-studies-department-fall-2018/,y,,,,,
28,/2017/02/07/violence-helped-ensure-safety-students/,y,,,,,y
29,/2017/01/31/berkeley-students-organize-protest-milo-yiannopoulos/,y,,,,,y
30,/2017/01/10/uc-berkeley-professors-request-cancellation-milo-yiannopoulos-talk/,y,,,y,,
31,/2017/09/23/ucpd-releases-list-banned-items-potential-demonstrations-response-canceled-free-speech-week/,y,,y,,,
32,/2017/09/28/uc-berkeley-outranked-by-ucla-umich-unc-in-new-college-ranking-by-wall-street-journal/,y,,,,,
33,/2017/09/11/uc-berkeley-ties-ucla-no-1-public-school-us/,y,,,,,
34,/2017/09/16/failure-confirm-berkeley-patriot-loses-zellerbach-wheeler-auditoriums-free-speech-week/,y,,y,,,
35,/2017/meme-timeline/,y,,,,,
36,/2017/08/17/city-berkeley-stay-away-scheduled-august-27-rallies/,y,,,y,,
37,/2017/03/13/cal-basketball-head-coach-cuonzo-martin-rumored-leave-illinois-head-coach-position/,y,,,,,
38,/2017/04/14/executive-seats-split-calserve-student-action-2017-asuc-elections/,y,y,,,,
39,/2017/01/26/uc-berkeley-chancellor-affirms-milo-yiannopoulos-right-speak-campus/,y,,,,,
40,/2017/01/19/memes-were-a-mistake/,y,,,,,y
41,/2017/02/27/dissecting-robert-reich/,y,,,,,y
42,/2017/05/08/injury-leaves-cal-rugby-player-robert-paylor-rehabilitating-lower-body-paralyzed/,y,,,,,
43,/2017/02/07/black-bloc-campus/,y,,,,,y
44,/2017/02/14/conservative-speech-will-not-stifled-violence/,y,,,,,y
45,/2017/09/19/welcome-cunt-servatory/,y,,,,,y
46,/2017/07/01/make-fun-eyebrows-dirks-learns-meme-status-final-days-chancellor/,y,,,,,
47,/2017/where-we-cry/,y,,,,,
48,/2017/04/04/andre-luu-not-suitable-candidate-president/,y,,,,,y
49,/2017/09/18/uc-berkeley-releases-updated-list-speakers-free-speech-week/,y,,y,,,
50,/2017/09/27/cloyne-resident-dies-7-years-disabling-drug-overdose/,y,,,,,
51,/2017/08/16/berkeley-electrician-no-longer-employed-after-planned-speech-at-charlottesville-protests/,y,,,,,
52,/2017/10/11/red-flag-warning-issued-east-bay-weather-conditions-critical/,y,,,,,
53,/2017/05/01/399178/,y,,,,,y
54,/2017/06/18/uc-berkeley-ranks-no-6-international-ranking-among-harvard-mit/,y,,,,,
55,/2017/04/15/free-speech-rally-berkeley-results-several-injuries-least-4-arrests/,y,y,,y,,
56,/2017/03/13/get-out-white-people/,y,,,,,y
57,/2017/11/27/uc-berkeley-lecturer-apologizes-anti-semitic-retweet/,y,,,,,
58,/2017/05/24/neng-thao-high-school-valedictorian-intended-uc-berkeley-student-dies-18/,y,,,,,
59,/2017/11/13/john-lennon-beatles-yoko-ono-cynthia-imagine/,y,,,,,
60,/2017/05/22/greys-anatomy-season-finale-ellen-pompeo-patrick-dempsey/,y,,,,,
61,/2017/04/18/antifa-presence-helped-defend-communities/,y,,,,,y
62,/2017/10/24/nut-not-nut/,y,,,,,y
63,/2017/04/14/live-results-2017-asuc-general-elections/,y,y,,,,
64,/2017/09/17/stem-professors-will-conduct-class-free-speech-week-despite-faculty-boycott/,y,,y,,,
65,/2017/01/17/uc-berkeley-student-charged-with-murder-attempted-murder-home-robbery/,y,y,,,,
66,/2017/03/05/uc-berkeley-discontinues-religious-studies-program/,y,,,,,
67,/2017/09/28/uc-berkeley-student-files-sex-harassment-lawsuit-former-tang-center-employee-uc-regents/,y,,,,y,
68,/2017/04/27/uc-berkeley-ranks-no-1-forbes-list-american-value-colleges/,y,,,,,
69,/2017/09/21/posters-alleging-uc-berkeley-community-members-terrorist-supporters-appear-campus/,y,,,,,
70,/2017/10/24/editorial-cartoon-targeting-alan-dershowitz-perpetuates-harmful-stereotypes/,y,,,,,y
71,/2017/08/17/alt-right-firebrand-kyle-based-stickman-chapman-charged-possession-leaded-stick/,y,,,,,
72,/2017/09/23/berkeley-patriot-canceled-free-speech-week-uc-berkeley-announces/,y,y,y,,,
73,/2017/12/04/diversity-presentation-sparks-controversy-within-panhellenic-sororities/,y,,,,,
74,/2017/02/01/386004/,y,,,,,y
75,/2017/02/21/uc-berkeley-receives-reports-body-lice-campus-buildings/,y,,,,,
76,/2017/02/03/hottest-people-who-went-to-berkeley/,y,,,,,
77,/2017/01/23/refugees-serve-coffee-new-berkeley-cafe/,y,,,,,
78,/2017/03/28/right-wing-author-ann-coulter-invited-speak-uc-berkeley-april/,y,y,,,,
79,/2017/08/15/ben-shapiro-event-set-for-zellerbach-hall-gaining-1500-more-seats-than-requested/,y,,,,,
80,/2017/02/15/petition-fire-berkeley-unified-school-district-teacher-resurfaces-fox-news-interview/,y,,,,,
81,/2017/01/17/free-speech-movement-veterans-historians-comment-milo-yiannopoulos-free-speech-controversy/,y,,,,,y
82,/2017/04/26/13-reasons-why-greek-life-is-the-worst/,y,,,,,
83,/2017/02/20/nasa-uc-berkeley-recruit-public-help-find-9th-planet/,y,,,,,
84,/2017/03/14/big-pussy/,y,,,,,y
85,/2017/09/14/young-americas-foundation-who-is-funding-uc-berkeleys-ben-shapiro-event/,y,,,y,,
86,/2017/09/01/berkeley-may-soon-legalize-ordinance-permitting-public-display-female-nipples/,y,,,,,
87,/2017/09/07/uc-berkeley-to-set-a-perimeter-around-6-buildings-for-ben-shapiros-event/,y,,,y,,
88,/2017/04/26/ann-coulter-says-no-longer-hosting-planned-speaking-event-april-27/,y,y,,y,,
89,/2017/11/10/former-uc-berkeley-visiting-professor-accused-sex-assault-graduate-student/,y,,,,y,
90,/2017/07/19/busd-teacher-activist-yvette-felarca-arrested-tuesday/,y,,,,,
91,/2017/02/07/condemning-protesters-condoning-hate-speech/,y,,,,,y
92,/2017/08/31/berkeley-ranks-no-1-as-most-expensive-college-town-in-the-country/,y,,,,,
93,/2017/05/30/investigation-revealing-chancellor-dirks-4990-misuse-public-funds-cost-university-57671/,y,,,,,
94,/2017/11/09/best-starbucks-holiday-drinks/,y,,,,,
95,/2017/04/27/uc-berkeley-implements-new-2-degree-program-college-engineering-haas-school-business/,y,,,,,
96,/2017/11/27/cal-baseball-sophomore-jared-horn-injured-car-accident-four-dead/,y,y,,,,
97,/2017/11/08/ucla-beats-uc-berkeley-2017-graduate-business-program-rankings/,y,,,,,
98,/2017/02/04/milo-yiannopoulos-announces-intention-reschedule-campus-talk/,y,,,,,
99,/2017/08/25/brief-guide-bay-area-slang/,y,,,,,
100,/2017/10/19/impossible-situation-cal-athletics-gets-20m-bailout-chancellors-office/,y,y,,,,